rank,company,website,hq,description,score,exec_team,funding_status,business_model,monthly_visits,investor_notes,overlapWithEuropace,traction,competesWithSeed,activeCompany,overall_tier,confidence,concerns,verify_exists,verify_website,corrections,sources,segment
1,Prohyp GmbH,https://prohyp.de/,"Munich, Germany","B2B partner platform for mortgage/financing intermediaries, giving brokers access to bank conditions and clearing services.",100,Jörg Utecht — Geschäftsführer | Florian Tenbusch — Geschäftsführer,Subsidiary of Interhyp AG (part of ING Group),B2B platform and services revenue from intermediary partners and lender commissions.,5505,"The cleanest external B2B analogue to Europace in Germany. Its partner-platform structure, bank-condition access, and clearing model make it a direct threat for intermediary share, though it is smaller and backed by a distribution business rather than neutral infrastructure.",strong,strong,yes,yes,exceptional,high,Smaller network scale than Europace. | Backed by an intermediary/distribution business rather than a neutral open-market utility.,confirmed,valid,,,similar_sites
2,Interhyp Gruppe,https://www.interhyp.de/,"München, Germany",Large German mortgage intermediary group that combines consumer brokerage with the Prohyp B2B platform for independent brokers.,100,Jörg Utecht — CEO and Vorstandsvorsitzender | Stefan Hillbrand — Vorstandsmitglied (CFO) | Jana Brendel — Vorstandsmitglied (Digital Products),Subsidiary of ING-Group (acquired 2008),Mortgage brokerage group earning lender commissions across consumer mortgage advice and the Prohyp B2B platform.,592313,"Interhyp is one of the clearest competitive references for Europace because its B2B arm, Prohyp, mirrors the broker/lender platform model Europace sells. The main nuance is that Interhyp is a group with a strong consumer-facing brand, so some overlap is indirect through Prohyp rather than the entire business. Still, it is large, active, and strategically important in German mortgage distribution.",strong,strong,yes,yes,exceptional,high,The group is not purely an open B2B marketplace; the overlap is strongest through Prohyp. | Consumer-facing brokerage is a large part of the overall brand.,confirmed,valid,,,broker_pools
3,iBaufi GmbH,https://ibaufi.com/,"Ismaning, Germany","B2B mortgage brokerage platform for intermediaries, giving access to 880+ banks and direct Europace access.",86,Baltasar Reinisch — Geschäftsführer,"Independent, privately held",B2B brokerage platform earning commissions on closed mortgage originations.,,"A niche but aggressive challenger. Its pitch is effectively anti-incumbent: no exclusivity, no minimum volume, and direct Europace access, designed to win broker share from established pools. It is still much smaller than Europace, but its economics are deliberately disruptive.",strong,strong,yes,yes,strong,high,Small relative to Europace. | Likely dependent on a narrow intermediary segment.,confirmed,valid,,,similar_sites
4,HypoSmart AG,https://hyposmart.de/,"Hamburg, Germany","B2B financing platform and service layer for intermediaries, with access to 550+ partner lenders and Europace 2.",86,Gunnar Monschauer — CEO/Finanzierungsberater,Independent AG,B2B platform/service fees and commissions for financing intermediaries.,,"HypoSmart is close to Europace in user-facing intent: a B2B intermediary platform that gives distribution partners access to lenders and CRM/process tooling. It appears more service-heavy and localized than Europace, but it directly competes for intermediary workflows in the German market.",strong,strong,yes,yes,strong,high,Less transparent on management and scale. | Service-heavy model may be narrower than Europace.,confirmed,valid,"Exec_team correction: Gunnar Monschauer is verified on HypoSmart’s site only as Finanzierungsberater/contact, not CEO (https://hyposmart.de/kontakt/; https://hyposmart.de/europace-2/). Northdata search evidence lists Andre Kremer as Vorstand and Henning Bohm as no longer Vorstand for HypoSmart AG (https://www.northdata.de/HypoSmart%20AG,%20Hamburg/HRB%20163195).",,similar_sites
5,BAUFINEX GmbH,https://www.baufinex.de/,"Schwäbisch Hall, Germany",Digital B2B mortgage marketplace that connects intermediaries with banks and product providers.,86,Carsten Hengst — Sprecher der Geschäftsführung,Joint venture between Bausparkasse Schwäbisch Hall AG and Hypoport SE,B2B marketplace commissions / platform fees for arranging mortgage brokerage between intermediaries and lenders.,10535,"BAUFINEX is one of the clearest Europace-adjacent plays because it is a real B2B mortgage marketplace in Germany, but it is also tightly tied to Hypoport and the cooperative banking ecosystem. That makes it more of a strategic 'frenemy' than a pure independent threat, yet its network and product depth give it meaningful distribution power. Investors should watch it as a protected channel into the Genossenschaftsbanken segment.",strong,strong,yes,yes,strong,high,"Deeply linked to Hypoport and Bausparkasse Schwäbisch Hall, so it is not a clean independent startup competitor. | Captive/cooperative-bank focus narrows the open-market comparison set.",confirmed,valid,"Exec_team correction: Carsten Hengst is confirmed as Sprecher der Geschäftsführung, but BAUFINEX also lists Dieter Angst as Geschäftsführer (https://www.baufinex.de/unternehmen).",,de_fintech_press
6,Finmas GmbH,https://finmas.de/,"Berlin, Germany",Digital financial marketplace and mortgage origination platform for the German Sparkassen-Finanzgruppe.,86,Klaus Kannen — Geschäftsführer | Wolfgang Thomaßen — Geschäftsführer | Jana Bartholomäus — Bereichsleiterin Plattformökonomie und Immobilie,Joint venture between Finanz Informatik and Hypoport SE; embedded in the Sparkassen-Finanzgruppe,"B2B marketplace and lead-management services for the Sparkassen network, monetized through platform/service relationships and distribution enablement.",1289,"Finmas is the Sparkassen equivalent of a mortgage platform ecosystem, so it meaningfully competes for the same lender and broker workflows Europace serves. The catch is that it is captive and deeply embedded in the savings-bank stack, which limits its relevance as a direct open-market challenger but makes it strategically important. It is a good example of Hypoport's platform model being mirrored inside another large banking group.",strong,strong,yes,yes,strong,high,"Closed ecosystem focused on Sparkassen, not an open-market platform. | More of a network-specific platform than a broad standalone challenger.",confirmed,valid,Exec_team clarification: current managing directors verified from Finmas’s official company page are Klaus Kannen and Wolfgang Thomaßen. Jana Bartholomäus as a current Bereichsleiterin was not verified in the official management evidence gathered (https://finmas.de/unternehmen/).,,de_fintech_press
7,on-geo GmbH,https://www.on-geo.de/,"Erfurt, Germany",German fintech provider for mortgage workflow digitization and property data/valuation services.,86,Ulrich Jacke — CEO/Founder | Andreas Nieweler — Managing Director,"Privately held, founded 2002","SaaS and license fees for mortgage origination, workflow, and valuation software modules.",24525,"on-geo is especially relevant because it combines mortgage workflow digitization with property valuation/data, giving it a potentially sticky product bundle. That makes it a credible contender for banks that want more of the origination stack under one vendor umbrella instead of routing through Europace.",strong,strong,yes,yes,strong,high,"Historical strength is valuation/data, so parts of the offering are adjacent rather than identical to Europace. | Not primarily a marketplace brand.",confirmed,valid,Funding/ownership correction: on-geo is no longer best described simply as privately held/standalone; the official site says on-geo is part of Accumin (https://www.on-geo.de/ueber-uns). Earlier acquisition reporting states Tinsa acquired on-geo in 2019 (http://www.deal-magazin.com/news/82876/Tinsa-setzt-europaeische-Expansion-mit-on-geo-Uebernahme-fort). | Exec_team correction: current official management lists Matthias Knabe as Geschäftsführer/Managing Director; Ulrich Jacke and Andreas Nieweler were not verified as current executives in the gathered official evidence (https://www.on-geo.de/ueber-uns; https://www.on-geo.de/en/about-us).,,mortgage_saas
8,Starpool Finanz GmbH,https://www.starpool.de/,"Lübeck, Schleswig-Holstein","B2B platform for mortgage, home-savings, and consumer-loan distribution to intermediaries.",86,Harald Amendt — Managing Director,Joint venture of Deutsche Bank AG and Hypoport SE,"B2B platform earning distribution/commission revenue from mortgage, home-savings, and consumer-loan product providers.",133442,"Starpool is a direct Europace-style platform but with a different ownership structure, combining Deutsche Bank and Hypoport interests. That makes it both a competitor and, in a sense, a strategically aligned channel in the German intermediary market. Its scale and lender breadth make it one of the more relevant companies for an Europace investor to watch.",strong,strong,yes,yes,strong,high,JV structure makes it partly a sibling/captive channel rather than a purely independent challenger. | Narrower than Europace's broader open-market positioning.,confirmed,valid,"Exec_team correction: Harald Amendt is stale; starpool’s current imprint lists Christian Niemann and Bettina Vockel as managing directors (https://starpool.de/impressum). Northdata search evidence also notes Harald Amendt is no longer Geschäftsführer (https://www.northdata.de/Starpool%20Finanz%20GmbH,%20L%C3%BCbeck/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20113114%20B).",,broker_pools
9,Baufi24 Baufinanzierung AG,https://baufi24.de/,"Hamburg, Germany",Large German mortgage brokerage network with digital adviser software and lender comparison tools.,85,Oliver Kohnen — Geschäftsführer,Subsidiary of Bilthouse-Gruppe (since 2022),Mortgage brokerage and franchise/network model earning lender commissions and partner/franchise fees.,928870,"Baufi24 is less of a pure platform vendor than Europace, but it is still a major distribution competitor in the German mortgage market. Its combination of brokerage, franchise expansion, and software support means it can pull borrower flow away from Europace-connected intermediaries. The scale signal is strong even if the business model is more retail-facing than Europace's B2B marketplace.",partial,strong,yes,yes,strong,high,Primarily brokerage/franchise distribution rather than a pure open B2B marketplace. | More retail-facing than Europace's core platform model.,confirmed,valid,"Legal-name correction: Baufi24 is now presented in official sources as Baufi24 Baufinanzierung GmbH, not AG; Northdata indicates a form change from AG to GmbH (https://www.baufi24.de/presse/ueber-uns/; https://www.northdata.de/Baufi24%20Baufinanzierung%20GmbH,%20Hamburg/HRB%20185243). | Exec-team correction: Oliver Kohnen is a Geschäftsführer, but official Baufi24 materials also list Tomas Peeters as CEO & Geschäftsführer and Benjamin Papo as Chief Sales Officer & Geschäftsführer (https://www.baufi24.de/presse/ueber-uns/).",,broker_pools
10,Oper Credits,https://www.opercredits.com/,"Antwerp, Belgium","White-label mortgage origination platform for lenders, focused on digitizing mortgage processes end to end.",84,Geert Van Kerckhoven — Co-Founder and CEO | Nick Van Berckelaer — Co-Founder | Wouter Lachat — Co-Founder and CPO,"Series A, €11M",White-label SaaS for mortgage lenders; monetizes through implementation fees and recurring software subscriptions.,12000,Oper is one of the cleaner direct software alternatives to Europace on the lender digitization side. Its German-bank messaging and white-label approach make it a credible option for institutions that want to modernize without fully depending on the Europace ecosystem.,partial,medium,yes,yes,strong,high,More lender-side origination software than an open broker-lender marketplace. | DACH footprint is credible but still less entrenched than domestic incumbents.,confirmed,valid,"Funding/status update: the €11M Series A in 2022 is supported, but current official materials also say PMV was added to the investor base in 2025; LinkedIn-derived search evidence reports total funding around $16.7M across multiple rounds, so 'Series A, €11M' is incomplete/stale as a total funding description (https://www.opercredits.com/about-us; https://medium.com/abn-amro-developer/abn-amro-ventures-oper-credits-raises-11m-in-series-a-to-shake-up-the-european-mortgage-market-56292827871b). | Exec-team correction: current official team page lists Geert Van Kerckhoven as CEO/co-founder and Wouter Lachat as Head of CS/co-founder, and also lists Charlotte Mast as COO and Gerben De Graaf as CTO; Nick Van Berckelaer is not shown on the current official about-page executive list found (https://www.opercredits.com/about-us).",,mortgage_saas
11,ECON Application GmbH,https://www.econ-application.de/,Germany,No-code mortgage and loan origination software for banks and financial intermediaries.,84,,Privately held (GmbH),"B2B SaaS for banks and financial intermediaries; monetizes through platform subscriptions, implementation, and enterprise software fees.",10116,ECON is best understood as lender-side origination software rather than a broker marketplace. That still matters for Europace because it gives banks an alternative way to own the mortgage process and customer experience instead of routing everything through a third-party platform.,partial,medium,yes,yes,strong,high,More lender-side workflow software than an open broker-lender marketplace. | Public scale metrics are limited.,confirmed,valid,Funding/status correction: ECON is not merely a generic privately held GmbH; its own website identifies ECON Application GmbH as a subsidiary of Atruvia AG (https://www.econ-application.de/baufinanzierung). | Exec-team not verified from current official sources in this run.,,mortgage_saas
12,applied by zeb,https://www.zeb-applied.com/,"Münster, Germany","Digital banking unit offering ImmOS, a modular mortgage-financing operating system for banks.",84,Dirk Holländer — Managing Director/Partner at zeb | Timo Wenzel — Managing Director of applied by zeb,Business unit / subsidiary of zeb consulting (privately held),B2B SaaS and consulting for banks; charges software and implementation fees for mortgage workflow digitization.,15000,"applied by zeb is a strong lender-side software vendor, but it is not a neutral marketplace like Europace. Its consulting heritage can be an advantage with large banks, especially where buyers want a project-led transformation rather than a pure transaction platform.",partial,medium,yes,yes,strong,high,"Consultancy-backed software unit rather than a pure-play platform. | Primary focus is internal mortgage process digitization, not broker marketplace liquidity.",confirmed,valid,Name/legal-entity correction: 'applied by zeb' is a brand/business name; the legal entity on the site is zeb.applied GmbH (https://www.zeb-applied.com/en/legal-notice). | Exec-team correction: the current legal notice lists Dr. Eddie Dubiel as Managing Director; the claimed Dirk Holländer / Timo Wenzel roles were not verified as current company managing directors in official sources found (https://www.zeb-applied.com/en/legal-notice).,,mortgage_saas
13,Hypofriend,https://hypofriend.de/,"Berlin, Germany",Digital mortgage broker with data-driven mortgage comparison and advice.,67,Nick Mulder — Co-founder & CEO | Dr. Christian Mulder — Co-founder | Pavel Jurasek — Co-founder & CTO,Bootstrapped / Privately owned (no external venture funding),Mortgage brokerage commissions from lenders; consumer service is free.,203147,"Hypofriend is not a direct Europace clone, but it is a credible digital-native mortgage distributor in Germany with real scale and lender access. It competes more for end-borrowers than for B2B infrastructure spend, yet its growth demonstrates how tech-enabled brokerage can pull volume away from traditional intermediary channels.",partial,strong,yes,yes,moderate,high,"Primarily B2C broker, not B2B platform. | Relies on lender commissions rather than marketplace infrastructure.",confirmed,valid,"Funding/status supported: Hypofriend's site says it is privately owned and independent; founder LinkedIn/search evidence says the company grew without external funding, and Tracxn describes it as unfunded (https://hypofriend.de/en; https://linkedin.com/in/nickmulder; https://tracxn.com/d/companies/hypofriend/__FkTLE48t8uF952tJrg10BiDBaSfQ73wqDBn6S7k14SU). | Exec-team nuance: claimed founders are supported, but current LinkedIn-derived company evidence also lists Mike Rojem as Managing Director and Christian Mulder as Co-Founder/CFO (https://de.linkedin.com/company/hypofriend).",,similar_sites
14,FINNOFLEET P-D-F GmbH,https://pro-direct-finance.de/,"Berlin, Germany",Enterprise software for credit processes and mortgage software across the full credit lifecycle.,67,Natalie Gude Losada — Founder/Managing Director | René Lehmann — Product Owner/Key Account Manager,"Privately owned, bootstrapped/self-funded growth via customer projects and software licensing",Enterprise software licensing plus implementation/projects for credit-process automation.,,"FINNOFLEET is an infrastructure/software competitor rather than a marketplace competitor. For an Europace investor, the risk is not immediate borrower disintermediation but banks modernizing away from standard transaction rails and into bespoke origination stacks.",partial,strong,yes,yes,moderate,high,More enterprise software than market platform. | Adjacency to core banking/loan processing rather than direct broker network competition.,confirmed,valid,"funding_status: claimed bootstrapped/private is stale/incorrectly framed. FINNOFLEET P-D-F GmbH is shown with shareholder FINNOFLEET Holding GmbH, and a FINNOFLEET group announcement says LEA Partners became majority owner of Berliner PRO-DIRECT-FINANCE GmbH (https://www.northdata.com/FINNOFLEET%20P-D-F%20GmbH,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%2094778%20B; https://www.basenet.ch/storys/fintech-gruppe-bekommt-ein-neues-starkes-mitglied). | exec_team: Natalie Gude Losada is evidenced as founder/strategy and René Lehmann as product owner/key account, but not as current legal management; register/search evidence indicates Natalie is no longer managing director and lists current management under FINNOFLEET/FINNOFLEET P-D-F rather than the claimed two-person exec team (https://www.northdata.com/FINNOFLEET%20P-D-F%20GmbH,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%2094778%20B; http://www.pro-direct-finance.de/).",,similar_sites
15,fintus GmbH,https://fintus.de/,"Frankfurt am Main, Germany",Low-code banking platform for automated mortgage and commercial lending workflows.,67,Benjamin Hermanns — CEO,Majority growth investment by AnaCap Financial Partners (2021),SaaS licensing and implementation for banks and lenders.,,fintus is an important adjacent threat: banks can use it to build customized lending journeys rather than rely on a standardized platform. It is less a direct market network competitor and more a way for institutions to self-build around Europace-style infrastructure.,partial,strong,yes,yes,moderate,high,Primarily a low-code/enterprise banking platform. | Not an open marketplace or broker network.,confirmed,valid,"exec_team: Benjamin Hermanns remains evidenced as founder/CEO in AnaCap’s 2021 announcement, but current imprint lists managing directors Anja Scheffka and Benjamin Hermanns; claimed exec_team is incomplete (https://www.anacap.com/news/anacap-invests-in-german-fintech-fintus-a-leading-provider-of-low-code-software-for-the-financial-services-sector/; https://fintus.de/en/imprint/). | funding_status: majority growth investment by AnaCap Financial Partners in 2021 is supported (https://fintus.de/en/change-of-shareholder-structure-at-fintus/; https://www.anacap.com/news/anacap-invests-in-german-fintech-fintus-a-leading-provider-of-low-code-software-for-the-financial-services-sector/).",,similar_sites
16,HYPOTHEKE.ch,https://www.hypotheke.ch/,"Zurich, Switzerland",Online mortgage brokerage platform that compares and closes Swiss mortgages for borrowers.,66,Florian Schubiger — Co-Founder | Damian Gliott — Co-Founder,Owned by Vermögenspartner AG,Consumer mortgage brokerage; earns from commissions / cashback spread rather than a pure SaaS fee.,16526,"More of a Swiss digital brokerage challenger than a Europace-style neutral platform, but it shows how a transparent, online mortgage marketplace can gain traction. It is relevant as a DACH adjacent competitor for borrower acquisition and lender access, though not a German B2B infrastructure giant.",partial,medium,yes,yes,moderate,high,"Swiss-only, not Europace's German core market. | Consumer-facing brokerage rather than B2B marketplace infrastructure.",confirmed,valid,"ownership/funding_status: the current imprint says HYPOTHEKE.ch is operated by GTF Gesellschaft für technologiebasierte Finanzdienstleistungen AG, not directly by VermögensPartner AG. Earlier sources say VermögensPartner’s founders launched HYPOTHEKE.ch and initial capital came from the three founders; the main site also states no bank/insurance/other company is financially involved (https://www.hypotheke.ch/impressum; https://www.swiss-startups.ch/hypotheke-ch-vernetzt-immobilienbesitzer-mit-banken-versicherungen-und-pensionskassen/; https://hypotheke.ch/). | exec_team: claimed Florian Schubiger and Damian Gliott are supported, but current team page lists Florian Schubiger as CEO, Lars Schultz as CTO, and Damian Gliott as CFO; IFZ/other sources also list Lars-Christian Schultz among the founders, so the claimed exec/founder list is incomplete (https://www.hypotheke.ch/ueber-uns/; https://www.six-group.com/dam/download/company/report/Studies/ifz-fintech-study-2022.pdf).",,similar_sites
17,FinEstHub GmbH,https://finesthub.de/,"Ulm, Germany",Digital marketplace matching commercial real-estate investors with banks for financing.,66,André Bodczian — Founder & CEO,Bootstrapped/Private (founded 2024),B2B platform fees for successful commercial-real-estate financing matches and related services.,1056,"FinEstHub is a niche commercial-real-estate financing marketplace rather than a broad residential mortgage platform. It matters to Europace investors because it shows the same disintermediation logic being applied to CRE, with banks and investors matched more directly online. Its current traction is modest, but it is a real competitor in the DACH financing-tech landscape.",partial,medium,yes,yes,moderate,high,"Focuses on commercial real estate, not the broader residential mortgage market. | Early-stage with modest public traction.",confirmed,valid,"funding_status: no public evidence found in the checked sources proving bootstrapped/private funding; only GmbH/register facts and founder/operation were found. Treat funding as unknown unless separately documented (https://www.northdata.de/FinEstHub%20GmbH,%20Ulm/HRB%20747937; https://finesthub.de/). | exec_team: André Bodczian as founder/Geschäftsführer is supported; register evidence also shows the company originated via a renamed/sitzverlegt entity formerly Next Element Capital GmbH, with prior manager Andreas Hackethal no longer managing director (https://www.northdata.de/FinEstHub%20GmbH,%20Ulm/HRB%20747937; https://de.linkedin.com/in/andre-bodczian-110319172).",,broker_pools
18,Navera,https://navera.de/,"Berlin, Germany",AI-driven retail mortgage brokerage platform for German home buyers.,66,Founder — CEO | Founder — CTO,"Early-stage (Seed / Pre-seed), undisclosed amount",B2C mortgage broker earning lender commissions from successful loan placements.,3120,"Navera is not a direct B2B Europace clone, but it is relevant because it attacks the same mortgage transaction flow from the borrower side. If it scales, it could reduce reliance on traditional broker distribution by making the consumer experience faster and more transparent. For now it is small and early stage, so it is more of a nascent threat than a category incumbent.",partial,weak,yes,yes,moderate,high,Primarily B2C rather than B2B. | Very early-stage and small relative to incumbents.,confirmed,valid,"funding_status: seed/pre-seed funding is not supported by the checked sources. Public evidence found only shows Navera GmbH/BFT Berlin Financial Technologies GmbH registration and €25,005 share capital; mark funding as unknown rather than claimed early-stage VC/seed (https://www.northdata.de/Navera%20GmbH,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20279762%20B). | exec_team: replace anonymous founders with evidenced team: Marcus Joachim — CEO/Managing Director; Uta Möllmann — CCO; Maxim Vetrenko — CTO; Fernanda Santos — Head of Operations; Sarah Dittmann — Head of Marketing. Northdata lists Marcus Joachim as Geschäftsführer and Gunnar Mängel as procurist (https://navera.de/ueber-uns; https://www.northdata.de/Navera%20GmbH,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20279762%20B).",,broker_pools
19,FINATUR GmbH,https://finatur.de/,"Deggendorf, Germany",Boutique service agency and mortgage-pool platform for independent brokers in Germany.,66,Matthias Lallinger — Geschäftsführer | Manuel Ebner — Leiter Marketing,Privately held (GmbH),"Boutique mortgage-pool service earning commissions/fees through broker support, lead generation, and access to lending conditions.",1301,"FINATUR is a small regional broker pool rather than a large-scale marketplace. It still matters because it competes for independent brokers and bundles access to mortgage supply in a way that can substitute for larger platforms on the edge of the market. Think of it as a boutique distribution layer, not a category-defining platform.",partial,weak,yes,yes,moderate,high,Boutique regional scale. | Service agency orientation rather than a pure technology marketplace.,confirmed,valid,"HQ/address: official imprint states FINATUR GmbH is at Michael-Fischer-Platz 1, 94469 Deggendorf; older/marketing material/search snippets also show Michael-Fischer-Platz 16, so use the imprint address as current (https://www.finatur.de/impressum.html; https://www.finatur.de/files/dateien/finatur/PDFs/FINATUR.pdf). | exec_team: Matthias Lallinger as Geschäftsführer and Manuel Ebner as Leitung Marketing are supported; Manuel Ebner is not evidenced as a managing director (https://www.finatur.de/; https://www.finatur.de/impressum.html). | funding_status: privately held/GmbH is consistent with the legal form, but no funding details beyond ordinary GmbH/private operation were found in checked sources (https://www.finatur.de/impressum.html).",,broker_pools
20,Fimobilia GmbH,https://www.fimobilia.com/,"Vienna, Austria",Digital residential financing platform serving both consumers and B2B partners like brokers and developers.,40,Michael P. Dojacek — Managing Director | Stefan Winkler — Co-Founder,"Privately held, founded 2021 (FN 559620x)",Commission-based mortgage brokerage platform; lender-paid fees for successful financing.,,"Fimobilia is a smaller Austrian digital mortgage platform that spans both B2C and B2B use cases. It is not a scale peer to Europace, but it belongs in a DACH competitor map because it targets the same financing workflows and can win borrower flows from local brokers.",partial,weak,yes,yes,weak,medium,Smaller and more local than Europace. | Limited public traction data.,confirmed,valid,"Website/HQ: the claimed website is valid; Fimobilia's own imprint identifies the website operator as Fimobilia GmbH, FN559620x, Commercial Court Vienna, registered office Schiffmühlenstrasse 57/1/1, 1220 Vienna (Fimobilia imprint: https://www.fimobilia.com/impressum-der-fimobilia-gmbh/). | Exec team update: Michael Dojacek is confirmed as sole managing director in the Austrian Firmenbuch/evi register since 23.12.2021; Stefan Winkler is confirmed as founder/co-founder/shareholder, but I did not find current evidence that he is a current managing director (evi: https://www.evi.gv.at/f/559620x; Fimobilia about page: https://www.fimobilia.com/ueber-uns/). | Ownership/funding nuance: no public evidence of institutional VC round or acquisition was found in the searched sources; the current register/shareholder evidence shows shareholders including Innocube GmbH, WagaLabs GmbH, Greimmo GmbH, Stefan Winkler and Christian Wierer, with EUR 35,000 share capital, so 'privately held' appears acceptable but should not be read as founder-only ownership (evi: https://www.evi.gv.at/f/559620x; FirmenABC: https://www.firmenabc.at/fimobilia-gmbh_zvIj).",,similar_sites
21,TIMVERO,https://timvero.com/,"London, United Kingdom",Modular mortgage origination and servicing software platform for lenders and brokers.,72,Dmitriy Wolkenstein — Co-founder & CEO | Anton Shashok — Co-founder,Privately held; reportedly about $1.6M total funding,Portfolio-tiered subscription pricing for a proprietary lending/origination platform.,6210,"TIMVERO is a smaller but credible software competitor, especially for institutions that value configurable deployment and modern architecture. The main watch-out for Europace investors is that TIMVERO's DACH footprint is still less established, so the threat is more directional than systemic today.",strong,medium,unknown,yes,strong,medium,Smaller company with less proven penetration in Germany/DACH. | More lender-side software than a broker marketplace.,confirmed,valid,"Funding/status supported but more specific: LinkedIn-derived company evidence reports $1.6M total funding, comprising a $600k pre-seed in 2021 and $1.0M seed in 2022 (https://linkedin.com/company/timveroltd). | Exec-team correction/nuance: TIMVERO's current about page lists Dmitriy Wolkenstein as CEO and Anton Shashok as CTO; it does not confirm Anton as co-founder in the official page extracted (https://timvero.com/about-us).",,mortgage_saas
22,neo makler GmbH,https://neomakler.com/,"Frankfurt am Main, Germany","Independent broker network providing CRM, IT infrastructure, comparison calculators, and settlement tools.",58,Nicolas Ausing — Geschäftsführer | Christian Arnold — Geschäftsführer,"Privately held, founded 2024","Broker-network software provider charging a revenue share/fee for IT, CRM, and administrative support.",,"neo makler is a tiny but relevant broker-tech entrant. It competes more as a workflow layer and broker network than as a full marketplace, so it is closer to adjacent infrastructure than to Europace's scale platform. Still, it could pull brokers into a different operating stack if its model resonates.",partial,weak,unknown,yes,moderate,high,Tiny scale relative to market leaders. | More broker-tech/network tooling than a full transaction marketplace.,confirmed,valid,"exec_team: claimed Nicolas Ausing and Christian Arnold are supported, but the imprint also lists Matthias Lang as managing director; claimed exec_team is incomplete (https://www.neomakler.com/general-4). | funding_status: privately held/founded 2024 is plausible from LinkedIn/search snippets, but the checked official sources did not substantiate funding beyond active GmbH/broker registration; no public VC/acquisition evidence found (https://www.neomakler.com/general-4; https://linkedin.com/in/nicolas-ausing-2b4bbb250).",,broker_pools
